source,target
22533,10332
22533,10830
22533,17675
22533,19330
22533,35773
22533,22666
22533,22642
22533,31890
22533,36652
14361,73
14361,7027
14361,9051
14361,10830
14361,22881
14361,19222
14361,22606
14361,29982
14361,3712
14361,31890
14361,20625
20506,27803
20506,1723
20506,33671
20506,14905
20506,18084
20506,37107
20506,32539
20506,13638
20506,31176
20506,23277
20506,36628
2078,24499
2078,531
2078,974
2078,18562
2078,27803
2078,27173
2078,32714
2078,13857
2078,6981
2078,27855
2078,25477
2078,4796
2078,25575
2078,15525
2078,15906
2078,15799
2078,16463
2078,7195
2078,35658
2078,14242
2078,5081
2078,5085
2078,30706
2078,36528
2078,22218
2078,12085
2078,29052
2078,30814
2078,30247
2078,37690
2078,9780
2078,21309
2078,19153
2078,9936
2078,19222
2078,33585
2078,10001
2078,19253
2078,31170
2078,5547
2078,7837
2078,30375
2078,28755
2078,14879
2078,26595
2078,19675
2078,24347
2078,24350
2078,15192
2078,31659
2078,29212
2078,22074
2078,15274
2078,15321
2078,13991
2078,3889
2078,6134
2078,24568
2078,17675
2078,31890
2078,36628
2078,29567
2078,22452
2078,20173
2078,2431
2078,24718
2078,11124
2078,13504
2078,17010
2078,31176
2078,37471
2078,27449
2078,27233
2078,29886
2078,4391
2078,11271
2078,2281
2078,20442
2078,13609
2078,13638
2078,9015
2078,22881
24609,27803
24609,2635
24609,73
24609,6631
24609,7027
24609,8635
24609,9051
24609,10595
24609,11279
24609,13857
24609,14670
24609,16098
24609,19222
24609,20854
24609,21142
24609,22353
24609,22642
24609,23664
24609,23837
24609,24402
24609,35523
24609,26827
24609,15191
24609,31890
24609,33643
24609,26946
24609,29982
24609,30809
24609,33988
24609,35008
24609,35773
20528,27803
20528,2330
20528,7195
20528,8357
20528,33671
20528,9015
20528,36091
20528,17850
20528,21309
20528,19222
20528,13204
20528,29023
14400,24499
14400,1213
14400,27803
14400,3491
14400,4174
14400,5743
14400,6436
14400,6486
14400,7462
14400,7837
14400,7852
14400,11124
