id,name,ml_target
16390,krishaamer,0
8200,thescientist13,0
32785,hugochan,1
8219,matthewharwood,0
16412,johnnychq,0
32797,PeterChen1997,0
8225,andersevenrud,0
16420,ionvision,0
24616,adamchainz,0
40,bombworm,0
24621,mrbrianhobo,0
16431,Jocs,0
16436,samuelsimoes,0
55,crispe1586,0
24633,benjioh5,0
16443,bekliev,0
16453,roquef,0
8265,nlpenguin,1
73,kentcdodds,0
16457,seominjoon,1
24649,RyanZHe,0
32848,ksclarke,0
8275,hetz,0
8276,3riccc,0
8279,denkensk,1
24669,1Chic,1
94,starkwang,0
16478,Pingmin,0
24672,FuZer,1
16482,tabvn,1
8292,kolier,0
32877,helaili,0
8312,BruceWeng,0
24697,charleslcsantos,0
8318,shashankmehta,0
16514,gleissonmattos,0
131,razbakov,0
16516,Diogo-Ferreira,0
24712,pqt,0
16524,alexfalcucci,0
24717,mwmw7,0
24718,radovankavicky,0
144,smamran,0
24730,jurassix,0
32924,IanLunn,0
32929,briceth,0
24737,theadambyrne,0
8357,anishathalye,1
24741,emanuelsaringan,0
8360,killme2008,0
8363,sewardlee337,1
173,anilkunwar,1
175,davegomez,0
16562,OnyekaIjeh,0
8371,brunocramos,0
183,chenlongqiang,0
193,findingsea,0
32961,TongDaDa,0
24771,shishirui,0
197,osmangoninahid,0
24775,samstewart,1
201,dikyarga,0
203,mikaelkaron,0
16589,johnfredcee,0
16591,saigerutherford,1
24790,cnchanning,0
32983,XhinLiang,0
215,AghilesAzzoug,1
219,ahmedalaahagag,0
24805,scorphus,0
33003,JosephmBassey,0
33010,elmariachi111,0
16631,sebastianruder,1
33024,princealikhan,0
33029,igrigorik,0
24837,formattedzzz,0
24839,jmanuelrosa,0
264,luismendozamx,0
24841,alihalabyah,0
8466,jingsam,0
8467,simonrenoult,0
8478,gijzelaerr,1
33054,sapegin,0
16672,danielrubango,0
33061,fuentesjr,0
16680,HFO4,0
24877,prantoran,0
33070,septs,0
33069,caiogondim,0
8495,ameerthehacker,0
33073,hxmeie,1
24882,easonlin404,0
16698,octavioturra,0
16703,genediazjr,0
24896,YixuanLi,1
321,javiercejudo,0
16709,muhamuttaqien,0
33096,jokester,0
8522,asyrique,0
16716,doyoe,0
33101,iassael,1
16718,sanketsaurav,0
332,TrueMoein,0
33105,renatomefi,0
337,JuIioCesar,1
33107,fasouto,0
8541,greengerong,0
8542,AustineGwa,0
8546,caijw,0
33128,rwieruch,0
16754,devypt,0
33138,sigmavirus24,0
24951,shiyuent,1
377,lyzzard,0
8573,cheen,0
8576,pakastin,0
8581,certik,0
8582,lu1s,0
33158,goddoe,1
33157,langerma,1
24969,eahefnawy,0
16782,axquired24,0
16788,Yukaii,0
24981,omidnikrah,0
33174,mrbarbasa,0
16801,othreecodes,0
33188,0xKD,0
8613,soareschen,0
16809,shubhamoy,0
25005,rachelbaker,0
33198,leighayanid,0
8623,thelastinuit,0
8622,ilgooz,0
33206,matheuss,0
16824,bahlo,0
16826,nowgoant,0
8635,afc163,0
25022,Jecyu,0
8639,ekko100120,0
457,olarclara,0
33228,hprobotic,0
33233,aravindputrevu,1
8661,eos21,0
16854,duivvv,0
33238,mikekavouras,0
16858,lorenanicole,1
8667,lfamorim,0
8668,deepakkarki,0
478,Tuccuay,1
25061,michaeldarius,0
16870,tcelestino,0
8682,gatarelib,0
25066,ericnormand,0
494,chokcoco,0
16880,Firesphere,0
33273,svmiller,1
506,shashankg7,1
509,aemidesign,0
16893,akbarhossainr,0
33291,LantaoYu,1
25102,jnunemaker,1
33298,safareli,0
25113,inureyes,1
8729,CHEF-KOCH,0
541,naokazuterada,0
16933,YanceyZhangDL,1
25125,talbotseb,0
33334,Taishi-Y,0
567,avogel3,0
8760,fangge,0
16950,igas,0
8764,cjcliffe,0
8766,devndone,0
8774,Stichoza,0
25163,nosir,0
16972,LFSCamargo,0
589,Odaeus,0
8785,salman-bhai,1
597,nicolascbarbosa,0
16982,rodrigo-dev,0
33366,DmitryBaranovskiy,0
16985,claus,0
602,omerg,0
25179,AbhiAgarwal,0
16987,dooooooooinggggg,0
610,kernelp4nic,0
8810,crcastle,0
8814,ColinFay,0
17010,eda-ricercatore,1
33397,phpmaple,0
639,tiangolo,0
33410,mrmrs,0
642,jd-alexander,0
648,shime,0
25227,ecarreras,0
17037,nitinkgp23,0
33422,anirudhmurali,0
25242,Xiphin,0
25249,mxcl,0
25254,joydo,0
25256,danjesus,0
33450,akemimadoka,0
8878,mbrn,0
25263,barneycarroll,0
33458,mingrongchen,1
25268,bingohuang,0
694,codertimo,1
25270,asmeurer,1
17086,kirang89,0
33471,juandc,0
25283,gongzhang,0
17099,rhiever,1
8915,radarsu,0
727,layerssss,0
728,askari01,0
25308,apg,0
25311,Double1996,0
737,android-sos,0
17123,qijiezhao,1
17128,IndrajeetPatil,1
17130,alexlevy0,0
25322,gabelula,0
746,lunaticmonk,0
25323,S2606,0
33518,mcauto,0
754,kenelite,1
17151,mehrad77,0
17152,DominusKelvin,0
33539,Cosaquee,0
773,KagamiChan,0
8968,lakshaydulani,1
8979,MaxHalford,1
17172,jjgrainger,0
791,timkaye11,1
25370,erayaydin,0
33566,kagurazakayashi,0
25375,lightsound,0
811,neoashraf,0
9007,motiko,0
9008,rwaldron,0
817,Yassir4,0
17205,JijoBose,0
9015,jeffreywugz,0
33591,mactive,0
25401,drugoi,0
827,earome,0
33601,stephenhky,1
836,bsvercl,0
25413,bendtherules,0
17224,adebesin,1
33612,khanzadimahdi,0
25421,OnurSevket,0
17228,131,0
33615,testerting,1
848,popomore,0
17237,simnalamburt,0
9051,getify,0
25436,raphealolams,0
33639,mithenji,0
33640,laobie,0
25451,octalmage,0
33643,mjackson,0
9083,ssokhey,1
9084,guzhongren,0
899,Ian-Morris,0
9092,liyaodong,0
25477,mcanthony,0
902,ifndefdeadmau5,0
33671,shayan-taheri,0
33678,indradhanush,0
33688,mirandae,0
25502,tallpants,0
926,IncognitoJam,0
17312,cdeutsch,0
9121,HavenShen,0
9122,jmargeta,0
9125,Half-Shot,0
9128,kiasaki,0
937,harryprince,0
17320,adelavega,1
940,pat-s,0
33709,alanmarazzi,1
944,kornhammer,0
17330,hepingtao,1
9144,statico,0
25535,abmohan,0
17347,dielduarte,0
17352,derekeder,0
17355,iSame7,1
973,gonsie,0
974,bevacqua,0
25560,Hollywood,0
17370,rootsher,0
33754,js-newbee,0
9181,Shinelw,0
25576,JakeLin,0
1002,mattmezza,0
17389,JDevlieghere,0
1006,m2sh,0
17395,hanxiao,1
33786,thunkli,0
25594,nb2998,1
25596,maljes,0
33791,kekegdsz,0
33799,rsms,0
1032,manrajgrover,0
17417,ninabreznik,0
33804,bluemix,0
33812,XVincentX,0
17429,connor,0
33815,jgillman,0
9239,409915016,0
9244,lebrande,0
33821,peterbeck,0
25630,orta,0
1057,dennycd,0
17442,sohelamin,0
25642,pedrolucasp,0
33837,kapit4n,0
1075,rdohms,0
17465,fatosmorina,1
1084,lmk123,0
1089,iam-peekay,1
25670,NGPixel,0
9287,daddyrusher,0
1095,ahmadawais,0
9288,jmiramant,0
33867,pra85,0
25677,rogeriopradoj,0
25678,aayushmnit,1
25680,polarity,0
33876,jieaozhu,0
17494,rahman95,0
17501,MattivdWeem,0
25700,dalsn,0
1126,PotHix,0
25702,aashutoshrathi,0
25706,endel,0
17515,JeffreyBool,0
25715,AustinMCrane,0
9340,import-yuefeng,0
25727,ms10398,0
1151,babolivier,0
17537,czs0x55aa,1
25731,leotm,0
9351,achillesrasquinha,0
9352,kastnerkyle,1
1164,barretlee,0
33937,malcolmyu,0
17562,doganozturk,0
17573,siansiansu,0
33962,grabear,0
25771,micheleriva,0
17580,ri7nz,0
9395,ChenYilong,0
25783,skydoves,0
17596,jaysoo,0
1213,hahnzhu,0
33988,luin,0
9415,samwuu,0
9417,seyfer,0
9418,KevinRamsunder,0
25805,BretFisher,0
1234,NikFranki,0
25812,danieldsf,0
17621,jonalvarezz,0
9433,igniteeng000,0
34011,TheRojam,0
17632,maniart,0
17633,BlackGanglion,0
25832,thisray,1
25833,anneincoding,0
17644,stanzhai,0
25839,taki0112,1
1264,LeasyZhang,0
1266,rhasan33,0
25843,Arcterus,0
17652,jiesutd,1
25846,federicobond,0
9465,oyghan,0
9466,magarcia,0
25854,YTLogos,1
1280,strin,0
17669,realtux,0
17675,dshaw,0
25872,eventhough,0
25876,betterclever,1
1300,Manoz,0
34069,amvise,0
25880,sarkartanzil,0
25882,icaromh,0
9501,dansteren,0
9503,andyprasetya,0
25887,jingxujuan,0
25896,DevJoseWeb,0
34088,paulsonnentag,0
34089,taq,0
17707,beyoung,0
17714,andrest,0
25907,ahmadnassri,0
1333,hjr3,0
9526,marcoonroad,0
34103,jarrodhammond,0
9532,joao-alberto,0
17726,inferjay,0
1346,CanftIn,0
9544,joelthchao,1
1354,AaronSum,0
34124,robertmitchellv,1
34126,elliotxx,0
9553,avelino,0
9572,SnailPJW,0
9574,sangwoomo,1
17775,mintisan,0
9588,jiahui-z,0
34165,homodigitus,1
17782,jpadilla,0
17790,JSpiner,1
17792,hunkim,1
25985,jeantimex,0
9602,florapdx,0
1413,jesserobertson,1
25994,ravinderk,0
26003,teachat8,0
